符合條件商品
資料日期：2026年  7月 17日
策略,	Total pool
"序號","代碼","商品","成交","漲幅%","總量","總市值(元)",月營收年增率
182	,"1720.TW","生達","63.5","-1.55","305","11347000000",9.11
183	,"1721.TW","三晃","21.25","-7.81","1847","3928000000",8.68
184	,"1722.TW","台肥","47.1","-1.46","1953","46158000000",-10.47
185	,"1723.TW","中碳","88.2","-1.67","1969","20894000000",32.12
186	,"1725.TW","元禎","29.1","-2.84","91","5291000000",-23.87
187	,"1726.TW","永記","80.5","1.26","227","13041000000",-5.59
188	,"1727.TW","中華化","82.4","-9.45","4358","10548000000",19.24
189	,"1730.TW","花仙子","51.4","-0.39","32","3250000000",9.48
190	,"1731.TW","美吾華","20.55","-0.72","221","2731000000",2.49
191	,"1732.TW","毛寶","26.35","-0.57","443","1118000000",10.02
192	,"1733.TW","五鼎","31.15","-1.58","221","3113000000",20.08
193	,"1734.TW","杏輝","32.25","-0.77","467","6133000000",3.78
194	,"1735.TW","日勝化","20","-6.1","300","1987000000",15.84
195	,"1736.TW","喬山","126","-2.33","604","38227000000",14.49
196	,"1737.TW","臺鹽","31.85","-0.47","141","6370000000",-10.03
197	,"1742.TW","台蠟","16.2","-0.31","52","1501000000",-22
198	,"1752.TW","南光","31.55","-1.1","113","3186000000",-18.07
199	,"1760.TW","寶齡富錦","60","-2.44","301","5144000000",-3.96
200	,"1762.TW","中化生","35.15","-5.13","412","2703000000",-40.17
201	,"1773.TW","勝一","174.5","-3.86","802","52350000000",20.49
202	,"1776.TW","展宇","18","-2.7","197","1081000000",5.98
203	,"1777.TW","生泰","71.7","-0.42","77","3197000000",28.2
204	,"1780.TW","立弘","22.3","-1.76","215","2432000000",-6.44
205	,"1781.TW","合世","11.85","-2.07","24","561000000",35.99
206	,"1783.TW","和康生","40.15","-1.59","178","3601000000",9.16
207	,"1784.TW","訊聯","60.8","-4.7","494","3229000000",5.37
208	,"1785.TW","光洋科","107.5","-5.7","14552","64067000000",70.84
209	,"1786.TW","科妍","51.2","-2.29","375","3831000000",0.95
210	,"1788.TW","杏昌","129.5","0","43","5765000000",3.7
211	,"1789.TW","神隆","19.85","-3.87","823","15696000000",-3.91
212	,"1795.TW","美時","188","-5.05","2002","50172000000",225.46
213	,"1796.TW","金穎生技","31.8","-1.7","15","1318000000",22.75
214	,"1799.TW","易威","32.25","-5.43","169","4021000000",67.01
215	,"1802.TW","台玻","56.6","-8.27","34187","164596000000",27
216	,"1805.TW","寶徠","10.2","0.49","163","1376000000",-0.87
217	,"1806.TW","冠軍","8.24","-1.9","440","3216000000",-20.44
218	,"1808.TW","潤隆","32.2","0.31","2531","28755000000",162537.27
219	,"1809.TW","中釉","39.95","-8.37","2846","6673000000",4.54
220	,"1810.TW","和成","27.15","-6.06","19244","8207000000",-11.91
221	,"1813.TW","寶利徠","11.95","0.42","17","557000000",-14.37
222	,"1815.TW","富喬","81.5","-8.53","15338","47716000000",46.36
223	,"1817.TW","凱撒衛","38.6","0","28","2802000000",4.18
224	,"1903.TW","士紙","48.65","0.21","150","12650000000",-1.91
225	,"1904.TW","正隆","21.9","-2.23","1477","24271000000",-2.09
226	,"1905.TW","華紙","14.35","-3.04","3416","15825000000",-0.43
227	,"1906.TW","寶隆","10.95","-1.79","113","1653000000",9.16
228	,"1907.TW","永豐餘","28.15","-0.88","1878","46739000000",12.66
229	,"1909.TW","榮成","10.1","-2.88","4113","13409000000",44.1
230	,"2002.TW","中鋼","18.65","-0.8","49686","293455000000",9.61
231	,"2006.TW","東和鋼鐵","70.2","-3.04","2364","51260000000",9.01
232	,"2007.TW","燁興","7.12","-1.25","501","3778000000",-25.73
233	,"2008.TW","高興昌","31.05","0.16","66","5925000000",4.61
234	,"2009.TW","第一銅","37","-3.27","1277","13306000000",15.46
235	,"2010.TW","春源","20.9","-1.65","1388","13535000000",-0.43
236	,"2012.TW","春雨","15.45","-3.13","64","4668000000",-17.63
237	,"2013.TW","中鋼構","40.5","-1.22","147","8100000000",-22.56
238	,"2014.TW","中鴻","17.05","-3.13","5992","24476000000",47.93
239	,"2015.TW","豐興","63.7","-0.93","365","37047000000",-9.73
240	,"2017.TW","官田鋼","8.91","-2.84","670","3981000000",18.04
241	,"2020.TW","美亞","21.2","-1.4","539","5661000000",3.63
242	,"2022.TW","聚亨","7.62","-3.67","941","2569000000",19.48
243	,"2023.TW","燁輝","13.6","-0.37","1800","25040000000",-1.88
244	,"2024.TW","志聯","14","-0.36","11","1365000000",17.18
